TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MSE[A_r],MSE[M_r],datfile
IndSumNormal,Lat,4,4096,12,rqmc,True,15,-1.7924829898632454e-05,7.852270469068746e-06,-0.0110628989051141,2.6145349435412437,5.234846979379164e-07,9.32435683442582e-07,IndSumNormal-4-Lat-RSB-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,True,19,-1.7924829898632454e-05,7.852270469068746e-06,-0.0110628989051141,2.6145349435412437,4.132773931088814e-07,7.265037928786289e-07,IndSumNormal-4-Lat-RSB-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,True,23,-1.7924829898632454e-05,7.852270469068746e-06,-0.0110628989051141,2.6145349435412437,3.414030638725542e-07,6.063981135303047e-07,IndSumNormal-4-Lat-RSB-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,True,27,-1.7924829898632454e-05,7.852270469068746e-06,-0.0110628989051141,2.6145349435412437,2.908248321877313e-07,5.281818131934339e-07,IndSumNormal-4-Lat-RSB-12-10000.dat
IndSumNormal,Lat,4,4096,12,rqmc,True,31,-1.7924829898632454e-05,7.852270469068746e-06,-0.0110628989051141,2.6145349435412437,2.532990473893144e-07,4.527599580322478e-07,IndSumNormal-4-Lat-RSB-12-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,False,7,8.594945499607831e-06,3.721589138731538e-07,0.0640558042776438,2.8221423717436043,5.316555912473625e-08,8.126027006069098e-08,IndSumNormal-4-Lat-RS-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,False,11,8.594945499607831e-06,3.721589138731538e-07,0.0640558042776438,2.8221423717436043,3.3832628533923066e-08,5.275958895124847e-08,IndSumNormal-4-Lat-RS-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,False,15,8.594945499607831e-06,3.721589138731538e-07,0.0640558042776438,2.8221423717436043,2.481059425821025e-08,3.922840341841966e-08,IndSumNormal-4-Lat-RS-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,False,19,8.594945499607831e-06,3.721589138731538e-07,0.0640558042776438,2.8221423717436043,1.9587311256481777e-08,3.139773398734167e-08,IndSumNormal-4-Lat-RS-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,False,23,8.594945499607831e-06,3.721589138731538e-07,0.0640558042776438,2.8221423717436043,1.6180822342311032e-08,2.5927840238675122e-08,IndSumNormal-4-Lat-RS-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,False,27,8.594945499607831e-06,3.721589138731538e-07,0.0640558042776438,2.8221423717436043,1.3783663476783472e-08,2.2388045701181004e-08,IndSumNormal-4-Lat-RS-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,False,31,8.594945499607831e-06,3.721589138731538e-07,0.0640558042776438,2.8221423717436043,1.20051262539727e-08,1.97371510925262e-08,IndSumNormal-4-Lat-RS-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,True,7,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,9.928401112024796e-08,1.5550489070420478e-07,IndSumNormal-4-Lat-RSB-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,True,11,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,6.31807343492487e-08,1.0347963777039158e-07,IndSumNormal-4-Lat-RSB-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,True,15,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,4.6332538522782376e-08,7.46874540009382e-08,IndSumNormal-4-Lat-RSB-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,True,19,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,3.6578319886407146e-08,6.055363728141793e-08,IndSumNormal-4-Lat-RSB-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,True,23,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,3.021687294964068e-08,4.985671328748485e-08,IndSumNormal-4-Lat-RSB-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,True,27,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,2.5740299179323546e-08,4.3145218725856e-08,IndSumNormal-4-Lat-RSB-14-10000.dat
IndSumNormal,Lat,4,16384,14,rqmc,True,31,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,2.2418970252959214e-08,3.7525304733279e-08,IndSumNormal-4-Lat-RSB-14-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,False,7,-1.005884622037863e-06,5.744313843542969e-08,0.0831941575337451,2.967874609319737,8.206162633632813e-09,1.2098829076248437e-08,IndSumNormal-4-Lat-RS-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,False,11,-1.005884622037863e-06,5.744313843542969e-08,0.0831941575337451,2.967874609319737,5.222103494129972e-09,7.954907821181433e-09,IndSumNormal-4-Lat-RS-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,False,15,-1.005884622037863e-06,5.744313843542969e-08,0.0831941575337451,2.967874609319737,3.829542562361979e-09,5.656354779166481e-09,IndSumNormal-4-Lat-RS-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,False,19,-1.005884622037863e-06,5.744313843542969e-08,0.0831941575337451,2.967874609319737,3.023323075548931e-09,4.553306441677393e-09,IndSumNormal-4-Lat-RS-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,False,23,-1.005884622037863e-06,5.744313843542969e-08,0.0831941575337451,2.967874609319737,2.4975277580621604e-09,3.790377319447682e-09,IndSumNormal-4-Lat-RS-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,False,27,-1.005884622037863e-06,5.744313843542969e-08,0.0831941575337451,2.967874609319737,2.1275236457566553e-09,3.244580890075677e-09,IndSumNormal-4-Lat-RS-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,False,31,-1.005884622037863e-06,5.744313843542969e-08,0.0831941575337451,2.967874609319737,1.8530044656590223e-09,2.8014308023090314e-09,IndSumNormal-4-Lat-RS-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,True,7,-3.0932869772756484e-06,1.2730290554456178e-07,0.0858066157001505,2.911035628593906,1.818612936350882e-08,2.7344057948408436e-08,IndSumNormal-4-Lat-RSB-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,True,11,-3.0932869772756484e-06,1.2730290554456178e-07,0.0858066157001505,2.911035628593906,1.1572991413141977e-08,1.8412967565248945e-08,IndSumNormal-4-Lat-RSB-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,True,15,-3.0932869772756484e-06,1.2730290554456178e-07,0.0858066157001505,2.911035628593906,8.486860369637451e-09,1.3754872910176241e-08,IndSumNormal-4-Lat-RSB-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,True,19,-3.0932869772756484e-06,1.2730290554456178e-07,0.0858066157001505,2.911035628593906,6.700152923397987e-09,1.0846968238735966e-08,IndSumNormal-4-Lat-RSB-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,True,23,-3.0932869772756484e-06,1.2730290554456178e-07,0.0858066157001505,2.911035628593906,5.534908936720076e-09,9.098218655679704e-09,IndSumNormal-4-Lat-RSB-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,True,27,-3.0932869772756484e-06,1.2730290554456178e-07,0.0858066157001505,2.911035628593906,4.7149224275763624e-09,7.683403346173635e-09,IndSumNormal-4-Lat-RSB-16-10000.dat
IndSumNormal,Lat,4,65536,16,rqmc,True,31,-3.0932869772756484e-06,1.2730290554456178e-07,0.0858066157001505,2.911035628593906,4.106545340147154e-09,6.916368800447898e-09,IndSumNormal-4-Lat-RSB-16-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,False,7,-3.494143145705806e-05,0.0010154021264648,0.0871740765893931,3.002856106060213,0.0001450574466378,0.0002308609722758,IndSumNormal-8-Lat-RS-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,False,11,-3.494143145705806e-05,0.0010154021264648,0.0871740765893931,3.002856106060213,9.230928422407672e-05,0.0001559608364785,IndSumNormal-8-Lat-RS-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,False,15,-3.494143145705806e-05,0.0010154021264648,0.0871740765893931,3.002856106060213,6.769347509765626e-05,0.0001229040814716,IndSumNormal-8-Lat-RS-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,False,19,-3.494143145705806e-05,0.0010154021264648,0.0871740765893931,3.002856106060213,5.344221718236021e-05,9.94271917630145e-05,IndSumNormal-8-Lat-RS-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,False,23,-3.494143145705806e-05,0.0010154021264648,0.0871740765893931,3.002856106060213,4.414791854194973e-05,8.657629961741331e-05,IndSumNormal-8-Lat-RS-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,False,27,-3.494143145705806e-05,0.0010154021264648,0.0871740765893931,3.002856106060213,3.7607486165364586e-05,7.37738924510195e-05,IndSumNormal-8-Lat-RS-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,False,31,-3.494143145705806e-05,0.0010154021264648,0.0871740765893931,3.002856106060213,3.2754907305317545e-05,6.712009942084048e-05,IndSumNormal-8-Lat-RS-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,True,7,-0.000245878931457,0.0008580324121093,0.0926517330443332,2.945812124052245,0.0001225760588727,0.0001978229797197,IndSumNormal-8-Lat-RSB-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,True,11,-0.000245878931457,0.0008580324121093,0.0926517330443332,2.945812124052245,7.800294655539775e-05,0.0001377474883258,IndSumNormal-8-Lat-RSB-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,True,15,-0.000245878931457,0.0008580324121093,0.0926517330443332,2.945812124052245,5.720216080729168e-05,0.000105210830668,IndSumNormal-8-Lat-RSB-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,True,19,-0.000245878931457,0.0008580324121093,0.0926517330443332,2.945812124052245,4.5159600637335535e-05,8.647038346632674e-05,IndSumNormal-8-Lat-RSB-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,True,23,-0.000245878931457,0.0008580324121093,0.0926517330443332,2.945812124052245,3.73057570482337e-05,7.440005502914024e-05,IndSumNormal-8-Lat-RSB-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,True,27,-0.000245878931457,0.0008580324121093,0.0926517330443332,2.945812124052245,3.177897822627315e-05,6.60340055378996e-05,IndSumNormal-8-Lat-RSB-6-10000.dat
IndSumNormal,Lat,8,64,6,rqmc,True,31,-0.000245878931457,0.0008580324121093,0.0926517330443332,2.945812124052245,2.767846490675404e-05,5.751541972325764e-05,IndSumNormal-8-Lat-RSB-6-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,False,7,1.935544354303352e-05,0.000183780388031,0.0233209928517601,2.995444192431897,2.625434114728657e-05,3.926166250448506e-05,IndSumNormal-8-Lat-RS-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,False,11,1.935544354303352e-05,0.000183780388031,0.0233209928517601,2.995444192431897,1.6707308002818726e-05,2.5937859468006373e-05,IndSumNormal-8-Lat-RS-8-10000.dat
IndSumNormal,Lat,8,256,8,rqmc,False,15,1.935544354303352e-05,0.000183780388031,0.0233209928517601,2.995444192431897,1.2252025868733732e-05,1.957121481515869e-05,IndSumNormal-8-Lat-RS-8-10000.dat
