TestFunction,DrawMethod,dim,nPoints,log2n,shift,baker,rDrawn,mean,var,skew,kurt,MeanOfMeans,MedianOfMeans,LeeValiant,MinskerNdaoud(3),MinskerNdaoud(2),MinskerNdaoud(3;1.0)
IndSumNormal,Lat,4,16384,14,rqmc,True,23,8.594945499607831e-06,3.7215891387315374e-07,0.06405580427764383,2.8221423717436043,1.6537656535272907e-08,2.592784023867512e-08,2.77775892677286e-08,2.0141275981881668e-08,1.811624420427189e-08,1.762347857406396e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,27,8.594945499607831e-06,3.7215891387315374e-07,0.06405580427764383,2.8221423717436043,1.4142533794073934e-08,2.2388045701181004e-08,2.3980718859002768e-08,1.662210258459954e-08,1.5172742414101143e-08,1.4852691787692833e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,27,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,2.5895728883908902e-08,4.3145218725856e-08,4.64541991699544e-08,3.0602990960317836e-08,2.7553709300356023e-08,2.725478209250102e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,31,-2.171656060677351e-06,6.949880778417357e-07,-0.0192312179342788,2.8835395101804315,2.2437531927412213e-08,3.7525304733279e-08,4.035358875265353e-08,2.6067884534719424e-08,2.3931744726080533e-08,2.349423344318287e-08
IndSumNormal,Lat,4,16384,14,rqmc,True,31,8.594945499607831e-06,3.7215891387315374e-07,0.06405580427764383,2.8221423717436043,1.2395207198231853e-08,1.97371510925262e-08,2.101987723929921e-08,1.4200598243995318e-08,1.3191825737758862e-08,1.2907806043364005e-08
IndSumNormal,Lat,4,65536,16,rqmc,True,7,-3.0932869772756484e-06,1.2730290554456175e-07,0.08580661570015058,2.911035628593906,1.8008791473279387e-08,2.7344057948408433e-08,2.9090839805661046e-08,3.6609400548824015e-08,2.4014048689550346e-08,2.734976268077466e-08
IndSumNormal,Lat,4,65536,16,rqmc,True,7,-1.005884622037863e-06,5.744313843542969e-08,0.08319415753374518,2.967874609319737,8.2795002133961e-09,1.2098829076248437e-08,1.2849834629251013e-08,1.6164527962501274e-08,1.0843995915417626e-08,1.2154167638401749e-08
IndSumNormal,Lat,4,65536,16,rqmc,True,11,-1.005884622037863e-06,5.744313843542969e-08,0.08319415753374518,2.967874609319737,5.288104781252507e-09,7.954907821181433e-09,8.435596121995473e-09,8.04187237427216e-09,6.198217608853116e-09,6.354410280227147e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,11,-3.0932869772756484e-06,1.2730290554456175e-07,0.08580661570015058,2.911035628593906,1.174486924812665e-08,1.8412967565248942e-08,1.9625401270636973e-08,1.8476557310307365e-08,1.418795089837774e-08,1.4375663007744675e-08
IndSumNormal,Lat,4,65536,16,rqmc,True,15,-3.0932869772756484e-06,1.2730290554456175e-07,0.08580661570015058,2.911035628593906,8.53564630791352e-09,1.375487291017624e-08,1.4633551261011922e-08,1.1641299671315012e-08,9.768402023445145e-09,9.539389351118075e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,15,-1.005884622037863e-06,5.744313843542969e-08,0.08319415753374518,2.967874609319737,3.8074408072055195e-09,5.656354779166481e-09,6.027577319300737e-09,5.055270985292264e-09,4.303631861190641e-09,4.181794602204438e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,19,-1.005884622037863e-06,5.744313843542969e-08,0.08319415753374518,2.967874609319737,3.025339471193185e-09,4.553306441677393e-09,4.847947171512629e-09,3.817156468212349e-09,3.3504469285948347e-09,3.2653742710650034e-09
IndSumNormal,Lat,4,65536,16,rqmc,True,19,-3.0932869772756484e-06,1.2730290554456175e-07,0.08580661570015058,2.911035628593906,6.714572422547092e-09,1.0846968238735966e-08,1.1577362391326966e-08,8.716228763107335e-09,7.462474534761539e-09,7.381021509896541e-09
