file,TestFunction,dim,DrawMethod,shift,log2n,baker,rDrawn,mean,var,skewness,kurtosis,    ,MSE[A_r],MSE[M_r],MSE[L_r],MSE[N(3)_r],MSE[N(2)_r],MSE[N(3;1.0)_r]
RepsFixedparRQMC/Fper2-4-Lat-RSB-16-10000.dat,Fper2,4,Lat,RS,16,True,23,-3.98566000000001e-16,2.03098647245036e-26,0.0211791994561706,1.65106031583507,    ,8.83196451573906e-28,3.32630208729506e-27,4.03896310477211e-27,1.37674822077771e-27,1.06067875505374e-27,1.09805811596378e-27
RepsFixedparRQMC/Fper2-4-Lat-RSB-16-10000.dat,Fper2,4,Lat,RS,16,True,27,-3.98566000000001e-16,2.03098647245036e-26,0.0211791994561706,1.65106031583507,    ,7.52376066875009e-28,2.87984329112867e-27,3.54769726481478e-27,1.07257792611476e-27,8.61658353252817e-28,8.84082677446923e-28
RepsFixedparRQMC/Fper2-4-Lat-RSB-16-10000.dat,Fper2,4,Lat,RS,16,True,31,-3.98566000000001e-16,2.03098647245036e-26,0.0211791994561706,1.65106031583507,    ,6.55315781453248e-28,2.49680881066924e-27,3.13545119203619e-27,8.82473313747266e-28,7.26701841561659e-28,7.47156903715638e-28
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-6-10000.dat,Fper2,4,Lat-Rp,RS,6,False,11,-5.62697758947415e-05,6.76228465744785e-05,-0.192662202116202,28.7344442608824,    ,6.15069779445002e-06,1.74992395423271e-08,1.91791943642873e-08,2.15512813738227e-07,1.47547089133494e-06,3.0234692801968e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-6-10000.dat,Fper2,4,Lat-Rp,RS,6,False,15,-5.62697758947415e-05,6.76228465744785e-05,-0.192662202116202,28.7344442608824,    ,4.51135605931115e-06,7.97285309607311e-09,9.20213916087895e-09,3.20710237887896e-07,1.33913256325939e-06,3.99958151266769e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-6-10000.dat,Fper2,4,Lat-Rp,RS,6,False,19,-5.62697758947415e-05,6.76228465744785e-05,-0.192662202116202,28.7344442608824,    ,3.56226347580969e-06,5.13859687338717e-09,6.12241871212325e-09,3.5712036430218e-07,1.24637543681577e-06,4.50367391887131e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-6-10000.dat,Fper2,4,Lat-Rp,RS,6,False,23,-5.62697758947415e-05,6.76228465744785e-05,-0.192662202116202,28.7344442608824,    ,2.94329005178701e-06,3.33375394633645e-09,4.17070862035658e-09,3.77996472167443e-07,1.21008843376423e-06,4.83063043515916e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-6-10000.dat,Fper2,4,Lat-Rp,RS,6,False,27,-5.62697758947415e-05,6.76228465744785e-05,-0.192662202116202,28.7344442608824,    ,2.50771616080808e-06,2.51354657836925e-09,3.33141335358375e-09,3.94245319966247e-07,1.09994925264506e-06,4.94119737318706e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RS-6-10000.dat,Fper2,4,Lat-Rp,RS,6,False,31,-5.62697758947415e-05,6.76228465744785e-05,-0.192662202116202,28.7344442608824,    ,2.18454843524307e-06,1.91294645190159e-09,2.67504362827205e-09,4.14726422560175e-07,1.06761424628258e-06,5.04976505574438e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RSB-6-10000.dat,Fper2,4,Lat-Rp,RS,6,True,11,-8.25770317591132e-06,6.70599921205083e-05,0.219424478898803,28.9609421057447,    ,6.09643110970796e-06,1.77800124990331e-08,2.08620501354007e-08,2.34220966121508e-07,1.39526268682253e-06,3.10965688625875e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RSB-6-10000.dat,Fper2,4,Lat-Rp,RS,6,True,15,-8.25770317591132e-06,6.70599921205083e-05,0.219424478898803,28.9609421057447,    ,4.47073433102896e-06,8.29624910840123e-09,9.50462747551656e-09,3.49106827369196e-07,1.38741366669807e-06,4.41553724910115e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RSB-6-10000.dat,Fper2,4,Lat-Rp,RS,6,True,19,-8.25770317591132e-06,6.70599921205083e-05,0.219424478898803,28.9609421057447,    ,3.52954145916218e-06,5.0100363208055e-09,6.13634704173614e-09,3.28326867774848e-07,1.17974461649337e-06,4.18164861985768e-07
RepsRandparRQMC/Fper2-4-Lat-Rp-RSB-6-10000.dat,Fper2,4,Lat-Rp,RS,6,True,23,-8.25770317591132e-06,6.70599921205083e-05,0.219424478898803,28.9609421057447,    ,2.91572002098819e-06,3.30250253062918e-09,4.23888613179317e-09,3.55043876338376e-07,1.15089262793031e-06,4.5960384092345e-07
